variant,run_status,backbone,weight_source,embedding_type,scorer,threshold_policy,threshold,multi_crop_or_patch,artifact_dir,test_auroc,test_auprc,test_recall,test_precision,test_normal_fpr,test_false_negatives,test_false_positives,validation_recall,validation_normal_fpr
resnet18_mahalanobis_reference,reused_existing_result,resnet18,torchvision_imagenet,pooled_penultimate,mahalanobis,maximize_recall_subject_to_normal_fpr<=0.1,12.147390651173238,False,artifacts/anomaly/d1_resnet18_mahalanobis_v1,0.7193846153846154,0.7211564167331639,0.2846153846153846,0.7708333333333334,0.088,93.0,11.0,0.38461538461538464,0.08
resnet18_knn,executed,resnet18,local_weights_path:/Users/ritik/.cache/torch/hub/checkpoints/resnet18-f37072fd.pth,pooled_penultimate,knn,maximize_recall_subject_to_normal_fpr<=0.1,0.6470337510108948,False,artifacts/anomaly/benchmark/resnet18_knn,0.8546461538461537,0.8394218893551051,0.5230769230769231,0.8831168831168831,0.072,62.0,9.0,0.5923076923076923,0.088
resnet18_threshold_sweep,executed,resnet18,reused_resnet18_scores,pooled_penultimate,mahalanobis,threshold_sweep_max_recall_subject_to_normal_fpr<=0.3,11.21301538129425,False,artifacts/anomaly/benchmark/resnet18_threshold_sweep,0.7193846153846154,0.7211564167331639,0.5769230769230769,0.7009345794392523,0.256,55.0,32.0,0.6538461538461539,0.256
resnet50_mahalanobis,executed,resnet50,local_weights_path:artifacts/.torch/hub/checkpoints/resnet50-11ad3fa6.pth,pooled_penultimate,mahalanobis,maximize_recall_subject_to_normal_fpr<=0.1,16.411548715128628,False,artifacts/anomaly/benchmark/resnet50_mahalanobis,0.8675692307692308,0.8799797518685918,0.7076923076923077,0.8214285714285714,0.16,38.0,20.0,0.7307692307692307,0.088
resnet50_knn,executed,resnet50,local_weights_path:artifacts/.torch/hub/checkpoints/resnet50-11ad3fa6.pth,pooled_penultimate,knn,maximize_recall_subject_to_normal_fpr<=0.1,0.8647513389587402,False,artifacts/anomaly/benchmark/resnet50_knn,0.9297846153846154,0.9338601096298055,0.823076923076923,0.8770491803278688,0.12,23.0,15.0,0.8153846153846154,0.088
resnet18_patch_grid_knn,executed,resnet18,local_weights_path:/Users/ritik/.cache/torch/hub/checkpoints/resnet18-f37072fd.pth,patch_grid,knn,patch_grid_maximize_anomaly_recall_subject_to_normal_fpr,0.7047546863555908,True,artifacts/anomaly/benchmark/resnet18_patch_grid_knn,0.7872,0.7407314066441659,0.34615384615384615,0.7894736842105263,0.096,85.0,12.0,0.4230769230769231,0.088
