variant,run_status,backbone,scorer,threshold,threshold_policy,local_mode,aggregation,crops_per_image,local_aggregation_used,artifact_dir,validation_recall,validation_normal_fpr,test_auroc,test_auprc,test_recall,test_precision,test_normal_fpr,test_false_negatives,test_false_positives
resnet50_knn_reference,reused_existing_result,resnet50,knn,0.8647513389587402,maximize_recall_subject_to_normal_fpr<=0.1,none,none,1,False,artifacts/anomaly/benchmark/resnet50_knn,0.8153846153846154,0.088,0.9297846153846154,0.9338601096298055,0.823076923076923,0.8770491803278688,0.12,23.0,15.0
resnet50_knn_threshold_sweep,executed,resnet50,knn,0.8168894052505493,validation_threshold_sweep_max_recall_subject_to_fpr<=0.3,none,none,1,False,artifacts/anomaly/local_features/resnet50_knn_threshold_sweep,0.9230769230769231,0.232,0.9297846153846154,0.9338601096298055,0.9461538461538461,0.7735849056603774,0.288,7.0,36.0
resnet50_multicrop_knn,executed,resnet50,knn,0.8558832287788392,validation_recall_priority,multicrop,max,6,True,artifacts/anomaly/local_features/resnet50_multicrop_knn,0.7384615384615385,0.096,0.9169846153846154,0.8852247868100676,0.823076923076923,0.84251968503937,0.16,23.0,20.0
resnet50_patch_grid_knn_fine,executed,resnet50,knn,0.9453640580177307,validation_recall_priority,patch_grid_fine,max,10,True,artifacts/anomaly/local_features/resnet50_patch_grid_knn_fine,0.4461538461538462,0.096,0.7575384615384615,0.7353459755748817,0.46923076923076923,0.7625,0.152,69.0,19.0
