variant,run_status,backbone,feature_layer,patch_method,aggregation,memory_patches,patches_per_image,threshold,threshold_policy,artifact_dir,validation_recall,validation_normal_fpr,test_auroc,test_auprc,test_recall,test_precision,test_normal_fpr,test_false_negatives,test_false_positives
resnet50_knn_threshold_sweep_reference,reused_existing_result,resnet50,pooled_penultimate,pooled_embedding_reference,none,,1,0.8168894052505493,validation_threshold_sweep_max_recall_subject_to_fpr<=0.3,artifacts/anomaly/local_features/resnet50_knn_threshold_sweep,0.9230769230769231,0.232,0.9297846153846154,0.9338601096298055,0.9461538461538461,0.7735849056603774,0.288,7.0,36.0
resnet50_featuremap_patch_knn,executed,resnet50,layer4,featuremap_patch_knn,max,10000.0,49,1.0000003576278687,validation_patch_threshold_max_recall_subject_to_fpr<=0.1,artifacts/anomaly/patch_aware/resnet50_featuremap_patch_knn,0.046153846153846156,0.024,0.6523076923076924,0.6104805656815602,0.1,0.6842105263157895,0.048,117.0,6.0
resnet50_featuremap_patch_knn_threshold_sweep,executed,resnet50,layer4,featuremap_patch_knn_threshold_sweep,max,10000.0,49,1.000000238418579,validation_patch_threshold_max_recall_subject_to_fpr<=0.3,artifacts/anomaly/patch_aware/resnet50_featuremap_patch_knn_threshold_sweep,0.43846153846153846,0.184,0.6523076923076924,0.6104805656815602,0.46153846153846156,0.6666666666666666,0.24,70.0,30.0
resnet50_patchcore_lite,executed,resnet50,layer4,patchcore_lite,top3_mean,5000.0,49,1.000000238418579,validation_patch_threshold_max_recall_subject_to_fpr<=0.3,artifacts/anomaly/patch_aware/resnet50_patchcore_lite,0.13076923076923078,0.064,0.6461230769230769,0.608614845090065,0.23846153846153847,0.7380952380952381,0.088,99.0,11.0
